qcs.android.vulcan,liyunpeng02,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.android.carrier,hexiaolei02,终端研发部-客户端组-基础设施组,qcs_trml_c_ic
qcs.c.ios.features,lvtianran,终端研发部-客户端组-乘客端iOS组,qcs_trml_c_cios
qcs.android.rtmp,wangming12,终端研发部-客户端组-乘客端安卓组,qcs_trml_c_candroid
qcs.cityconfig.client,huzhijun,技术研发部-M端组,qcs_trd_m
qcs.android.diggers,hexiaolei02,终端研发部-客户端组-基础设施组,qcs_trml_c_ic
qcs.android.widget,pengjunwei,终端研发部-客户端组-乘客端安卓组,qcs_trml_c_candroid
qcs-service-complicance,wuchenqiu,技术研发部-司机端组,qcs_trd_d
qcs.biz.server,zhulin15,技术研发部-运营端组,qcs_trd_oe
qcs.api.cshare,gaozhou,技术研发部-乘客端组,qcs_trd_c
qcs.android.xchannel,baozhiheng,终端研发部-客户端组-乘客端安卓组,qcs_trml_c_candroid
qcs-driver-sampling,zhaoyisu,技术研发部-司机端组,qcs_trd_d
qcs.api.scene.degrade,niuhaiyu,技术研发部-乘客端组,qcs_trd_c
qcs.android.xpolling,liyunpeng02,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.adanos.common,zhangzuopeng,技术研发部-司机端组,qcs_trd_d
qcs.android.savior,xuqianying,终端研发部-客户端组-乘客端安卓组,qcs_trml_c_candroid
qcs-driver-growthapi,meidong,技术研发部-司机端组,qcs_trd_d
qcs-driver-security,liye05,技术研发部-司机端组,qcs_trd_d
qcs.android.location,lijianzhang,终端研发部-客户端组-LBS组,qcs_trml_c_lbs
qcs.c.cache,weiguobing,技术研发部-乘客端组,qcs_trd_c
qcs.android.toolkit,dongxiabin,终端研发部-客户端组-LBS组,qcs_trml_c_lbs
qcs.ads.server,dushuangcheng,技术研发部-运营端组,qcs_trd_oe
qcs.android.map,liuhuan51,终端研发部-客户端组-LBS组,qcs_trml_c_lbs
qcs.android.logger,liyunpeng02,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.c.cache.base,zhengshaogang,技术研发部-乘客端组,qcs_trd_c
qcs-driver-transport,guzhaoxiang,技术研发部-司机端组,qcs_trd_d
qcs.c.link,songzhihao,技术研发部-乘客端组,qcs_trd_c
qcs.appeal.service,maohuafeng,技术研发部-M端组,qcs_trd_m
qcs.android.uicomponents,mengqi03,终端研发部-客户端组-基础设施组,qcs_trml_c_ic
qcs.android.perf,songdanqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs-driver-manageanalysis,guzhaoxiang,技术研发部-司机端组,qcs_trd_d
qcs.crm.server,baipeng03,技术研发部-M端组,qcs_trd_m
qcs.c.login.client,liyanxin02,技术研发部-乘客端组,qcs_trd_c
qcs.android.projector,hexiaolei02,终端研发部-客户端组-基础设施组,qcs_trml_c_ic
qcs.android.voice,shihongyu,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.android.push,tangsheng02,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.activity.server,guofeipeng,技术研发部-司机端组,qcs_trd_d
qcs-driver-admission,fuwuzhou,技术研发部-司机端组,qcs_trd_d
qcs.budget.server,gaoyang09,技术研发部-结算组,qcs_trd_settle
qcs.android.risk,liyunpeng02,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.customer.service,huzhijun,技术研发部-M端组,qcs_trd_m
order-base,yaolei02,技术研发部-乘客端组,qcs_trd_c
qcs.c.api,songzhihao,技术研发部-乘客端组,qcs_trd_c
qcs-driver-ovc,wangtao50,技术研发部-司机端组,qcs_trd_d
order-operation,cuibaosen,技术研发部-乘客端组,qcs_trd_c
qcs.auth.server,luolinqiang,技术研发部-司机端组,qcs_trd_d
qcs-rapi-enter,wangtao50,技术研发部-司机端组,qcs_trd_d
qcs-driver-rcquery,zhaoyisu,技术研发部-司机端组,qcs_trd_d
qcs-rapi-lbs,yangyang25,技术研发部-司机端组,qcs_trd_d
